Particle # ,      x (cm)      ,      y (cm)      ,      z (cm)      ,  n_H (c^m-3)  ,   T_gas (K)   ,  T_dust (K)   , chi (Draine)  , Type (I|P|D)
         1 , +2.985702647E+19 , -6.493771646E+18 , -4.120629400E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         2 , -2.680671066E+19 , +3.277538945E+18 , +7.428602384E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         3 , -1.082027746E+18 , +1.548212547E+18 , +1.280176081E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         4 , +1.193962247E+19 , +1.323134577E+19 , +1.217538058E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         5 , -2.733730837E+19 , +9.748562976E+18 , +6.748222799E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         6 , -3.950386391E+18 , -5.499115789E+18 , +2.602554976E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         7 , +1.537895892E+19 , -1.964932083E+19 , +9.445410572E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         8 , +1.807933420E+19 , -3.621076698E+18 , +1.334297633E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
         9 , -2.350691781E+19 , +6.528926772E+18 , -8.995845848E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        10 , +4.390410200E+17 , -1.280842279E+19 , +1.704259896E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        11 , +1.875308884E+19 , -1.411071145E+19 , -1.143766294E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        12 , -1.461918176E+19 , -1.245658148E+19 , +1.875069126E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        13 , -7.659249077E+16 , +1.792099882E+18 , -3.058314815E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        14 , -2.261362029E+19 , -7.982077304E+18 , -8.046169915E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        15 , -9.961243310E+18 , -1.525307870E+19 , -2.461885410E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        16 , +2.454271501E+19 , -1.180846882E+19 , +5.417499615E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        17 , +1.879531325E+18 , -1.517363484E+19 , -5.695185920E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        18 , -1.036848796E+19 , -9.068266704E+18 , +1.653690576E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        19 , -1.529932375E+18 , -1.284243313E+19 , -2.583213022E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        20 , -2.085169217E+19 , +1.120772749E+19 , +6.122660278E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        21 , +2.303887296E+18 , -1.392125146E+17 , -2.522062296E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        22 , +9.794073636E+18 , +6.501964121E+18 , -2.540069077E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        23 , +2.272005457E+19 , -7.882869681E+18 , -1.401544116E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        24 , -1.995886367E+19 , -7.699092890E+18 , -1.724584637E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        25 , -9.959993610E+18 , -7.017759830E+18 , +4.784506781E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        26 , -1.555918410E+19 , -1.962426204E+18 , -2.783999920E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        27 , -1.318333263E+19 , -2.385856472E+19 , +1.162827142E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        28 , -1.956988623E+18 , +2.686066065E+19 , -1.980563849E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        29 , -7.529198562E+18 , -2.408037866E+18 , +1.044915992E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        30 , +1.448833052E+18 , -5.242239294E+18 , +2.158859828E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        31 , +2.110264108E+19 , -6.335479467E+18 , -1.440470248E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        32 , -1.144803081E+19 , -7.972940612E+18 , +5.436152536E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        33 , +1.515501586E+18 , +6.978432868E+18 , +8.661842840E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        34 , +1.475216491E+17 , +7.480420170E+18 , +1.224489165E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        35 , -1.744390060E+19 , -7.810121744E+18 , +1.372386621E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        36 , -7.068762996E+18 , +5.282899269E+18 , +1.425059448E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        37 , +2.823789425E+19 , +8.773436373E+17 , -1.179283369E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        38 , +3.528759393E+18 , -5.577637029E+18 , +1.416615800E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        39 , -2.763700790E+18 , -2.660444449E+19 , -4.444073220E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        40 , +5.612946439E+18 , -9.491529111E+18 , -1.024349025E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        41 , -2.002315377E+19 , -3.668451108E+18 , -1.921376817E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        42 , -2.022780825E+19 , +1.272948807E+19 , -1.243205651E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        43 , -1.897703806E+19 , +3.457486410E+18 , -1.029235195E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        44 , -6.001510401E+18 , -1.949051026E+19 , -1.239505306E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        45 , -9.136123841E+18 , +2.585730627E+18 , -1.719554983E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        46 , -5.617349701E+18 , -1.556492963E+19 , -2.350537806E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        47 , -4.614297715E+17 , -1.310103143E+19 , -1.321368335E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        48 , -1.426374255E+19 , -1.317929347E+19 , -7.113326353E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        49 , -3.151754380E+18 , +5.106642274E+18 , -2.992379128E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        50 , +2.578824572E+19 , -1.194880544E+19 , +9.661812233E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        51 , +1.115562583E+19 , +2.256084286E+19 , +1.740118865E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        52 , -1.055255172E+19 , +1.328113010E+19 , +1.449207961E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        53 , -2.567765194E+19 , +5.074529626E+18 , -6.388031644E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        54 , +5.769550752E+18 , +1.772698375E+19 , +9.717681514E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        55 , -6.315653988E+18 , -1.758155268E+18 , -2.207102547E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        56 , +7.009758668E+18 , -1.020095418E+19 , -9.515304257E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        57 , -1.415466385E+19 , -2.354123055E+19 , -1.594407919E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        58 , +1.055395879E+19 , +9.236457737E+18 , -2.629342978E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        59 , +1.285167473E+18 , +2.834067509E+19 , -7.788392402E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        60 , +1.772380242E+18 , +4.497477044E+18 , +1.605338624E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        61 , -1.470602508E+19 , -7.344548524E+18 , -1.296554550E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        62 , +1.395708482E+19 , +2.215088590E+19 , +1.236637786E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        63 , -1.811672644E+19 , -5.236382678E+18 , +9.994889539E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        64 , +4.377953319E+18 , +5.927120883E+18 , +2.424019517E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        65 , -1.178233005E+19 , +7.868317625E+18 , -3.324262277E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        66 , +7.662499838E+18 , +1.152562944E+19 , -2.640089159E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        67 , -1.426819210E+19 , +1.495086743E+19 , +2.201323690E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        68 , -2.426819461E+18 , -1.893061713E+19 , -9.088218695E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        69 , +1.610428140E+19 , -4.825638865E+18 , -1.468522452E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        70 , +2.136458734E+18 , +2.046997532E+19 , -3.324863984E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        71 , +1.364274375E+19 , -2.157426839E+19 , +1.410830462E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        72 , -2.429765666E+19 , +1.402313992E+18 , -6.100653224E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        73 , -1.000673546E+19 , -1.402725004E+19 , +1.073768313E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        74 , +1.487896805E+19 , -2.080873953E+19 , +5.322670568E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        75 , -1.469737901E+19 , +1.803415371E+19 , +1.281058893E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        76 , +1.648313474E+19 , -2.243556743E+18 , +1.927602789E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        77 , -1.264958136E+19 , +1.563485726E+19 , -9.892920235E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        78 , +2.883521665E+19 , -7.466340222E+18 , -2.612542080E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        79 , -8.203838787E+18 , +2.783977086E+19 , -8.029541198E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        80 , -9.235754202E+18 , -8.520204063E+18 , -1.181964823E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        81 , +6.989491937E+18 , -2.248772773E+19 , +1.415267976E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        82 , +3.271059022E+17 , -1.411395759E+19 , +1.760170215E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        83 , -8.652456208E+18 , -1.381750727E+18 , -3.839144625E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        84 , +1.848889928E+19 , -1.942169656E+19 , -8.289777996E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        85 , +2.036202906E+18 , +1.156707626E+19 , -2.652284066E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        86 , +2.636871106E+18 , -4.156929313E+18 , -2.525027633E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        87 , -4.985668281E+18 , +1.485040394E+19 , -7.230517306E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        88 , -1.871001895E+18 , -4.623999086E+18 , -7.524292335E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        89 , +1.325416744E+19 , +4.772725664E+18 , -2.433592523E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        90 , +5.458829182E+18 , +1.021136834E+19 , +2.156153997E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        91 , -2.334578064E+18 , -2.501627705E+19 , +1.053731156E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        92 , +2.337511617E+19 , +1.438193326E+19 , +5.852601767E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        93 , -3.944863028E+18 , -8.490556872E+18 , -6.307202317E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        94 , -2.088319694E+19 , -7.609065158E+17 , -9.524147810E+17 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        95 , -6.762281147E+18 , +2.206734426E+19 , -4.109079709E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        96 , +1.060571795E+19 , -1.683486188E+18 , +1.750792224E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        97 , -8.638089293E+18 , +2.215162646E+19 , -1.432941503E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        98 , -1.246417224E+19 , -1.142234563E+19 , +9.407185197E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
        99 , +8.382076787E+17 , +5.253600759E+18 , -2.973090866E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       100 , -6.711685290E+18 , -2.071237999E+19 , -2.107909118E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       101 , +1.294252295E+17 , +2.517558750E+19 , +2.961641459E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       102 , -1.925610675E+19 , +8.391299878E+18 , +2.109047116E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       103 , -2.182114421E+19 , +2.627949486E+18 , +9.063702986E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       104 , -1.663899232E+19 , +1.338804574E+19 , -1.694684729E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       105 , -3.126387024E+18 , -2.001736812E+19 , -3.114809561E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       106 , +8.117199130E+18 , +1.286016652E+19 , +5.368659508E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       107 , +3.062251214E+18 , +2.219623302E+19 , -1.118561244E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       108 , +5.874982187E+18 , -2.374327763E+17 , -1.702869181E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       109 , +2.474509226E+18 , +1.135446998E+19 , +6.677921805E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       110 , +1.228555779E+19 , +3.542706657E+18 , -1.255157406E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       111 , -1.320171709E+19 , +6.486254936E+18 , +2.544245233E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       112 , -3.550997872E+18 , +9.681656227E+18 , +1.212781178E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       113 , +1.965975968E+19 , -1.507042201E+19 , -8.581065969E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       114 , +4.915811624E+18 , +2.666793539E+19 , -7.293789127E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       115 , +2.350373956E+19 , -1.826191683E+18 , -5.572561089E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       116 , -1.284469802E+19 , +2.093267886E+19 , +6.564674348E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       117 , -2.665914121E+19 , +7.539156044E+18 , -3.902101707E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       118 , +1.191287273E+19 , +2.179593731E+19 , -9.805685041E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       119 , -1.918066193E+19 , +5.218488833E+18 , +2.371738571E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       120 , -6.342903608E+18 , +1.999544747E+19 , -8.529744978E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       121 , -1.252770326E+19 , +6.990031930E+18 , +1.120147900E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       122 , +1.173866154E+19 , +1.488873731E+19 , +1.960788944E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       123 , +4.151310293E+18 , -2.626316854E+19 , -4.071190673E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       124 , +1.714915666E+19 , -1.682664163E+19 , -1.504396541E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       125 , -8.255564002E+18 , -1.065594353E+19 , +4.727825968E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       126 , -1.194982063E+19 , -3.218494503E+18 , -9.654412778E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       127 , -1.972475639E+19 , -1.356114917E+18 , +1.631722093E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       128 , -8.956617628E+18 , -2.924821301E+18 , -2.269130840E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       129 , +1.127272390E+17 , +1.421136317E+19 , +1.059693920E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       130 , -3.618342788E+18 , +2.519627080E+19 , -1.688535899E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       131 , -1.812216032E+19 , -1.563528308E+19 , +4.949257284E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       132 , +7.787691953E+18 , -9.075496446E+18 , -6.437677112E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       133 , -1.247823985E+19 , -1.545228079E+19 , -8.383672082E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       134 , -1.033368769E+19 , -6.784211058E+18 , -5.654473489E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       135 , -4.507807893E+18 , +8.939081722E+18 , +1.612698582E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       136 , -2.308366775E+19 , +7.058984484E+18 , +1.770474527E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       137 , -9.159238653E+18 , -9.838109342E+17 , +2.617414057E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       138 , +1.632288315E+19 , -5.935751524E+18 , -2.228443711E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       139 , +2.194875549E+18 , +2.026086203E+19 , -1.285054229E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       140 , -8.022817506E+18 , +1.220006292E+19 , +1.501718790E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       141 , +1.164299627E+19 , -2.065905640E+18 , -1.153996241E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       142 , -1.889349026E+19 , +5.333087816E+18 , -1.289093998E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       143 , -1.701112813E+19 , -1.987593300E+19 , -1.340261940E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       144 , +2.673045431E+19 , +4.456792384E+18 , -5.775024745E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       145 , +1.546348180E+19 , -5.168507026E+18 , +1.240857450E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       146 , -4.835414292E+18 , +1.499696437E+18 , +2.448237458E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       147 , -3.855915284E+18 , +5.999581852E+18 , -2.963138321E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       148 , -8.096123951E+18 , -2.737386439E+19 , +1.054732767E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       149 , -3.364508771E+18 , -2.529686080E+19 , -1.275673152E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       150 , +2.021658873E+19 , -1.074895202E+19 , +5.571669329E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       151 , +5.632287467E+18 , +2.713477374E+19 , +4.105401581E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       152 , -2.085967173E+19 , -8.020808730E+18 , -1.649442832E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       153 , +1.665009767E+18 , +2.876110793E+19 , +6.925994861E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       154 , +1.986870943E+19 , +6.178421559E+18 , +2.817612824E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       155 , +1.422629477E+19 , -1.462777538E+19 , -1.100382591E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       156 , +6.111835720E+18 , -1.386187315E+19 , -1.430828431E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       157 , +9.362945836E+18 , -1.251107146E+19 , -1.668988131E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       158 , -2.055064728E+19 , +9.225562209E+17 , -1.364752655E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       159 , -1.652720130E+19 , +7.330869715E+18 , +1.996135999E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       160 , +9.378908047E+18 , -5.214789105E+18 , -4.697305530E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       161 , -1.300441886E+19 , +1.450133356E+19 , +1.131322373E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       162 , +1.246724249E+19 , +2.637990898E+19 , -9.998024588E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       163 , +1.884919227E+19 , +1.691305604E+19 , +1.509827025E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       164 , +2.870624767E+19 , -2.158766024E+18 , -2.057209274E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       165 , +1.146210459E+18 , +1.810652211E+19 , -1.420194260E+19 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       166 , -1.979593989E+19 , -2.200427918E+19 , +7.556411154E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
       167 , +1.079423434E+19 , +7.967395650E+18 , -8.539143952E+18 , 1.0000000E+04 , 5.0000000E+01 , 2.0000000E+01 , 0.0000000E+00 , P
