Particle #,x (cm),y (cm),z (cm),n_H (cm-3),T_gas (K),T_dust (K),chi (Draine),Type (I|P|D)
3895,-1.9548993E+18,-3.1801558E+18,-7.9503896E+18,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3896,-1.9547411E+18,-3.1801558E+18,-7.9503896E+18,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3897,-1.9531628E+18,-3.1801558E+18,-7.9503896E+18,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3898,-1.9515924E+18,-3.1801558E+18,-7.9503896E+18,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3899,-1.9500296E+18,-3.1801558E+18,-7.9503896E+18,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3900,-1.9484746E+18,-3.1801558E+18,-7.9503896E+18,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3901,-1.9469270E+18,-3.1801558E+18,-7.9503896E+18,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3902,-1.9453870E+18,-3.1801558E+18,-7.9503896E+18,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3903,-1.9438544E+18,-3.1801558E+18,-7.9503896E+18,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3904,-1.9423291E+18,-3.1801558E+18,-7.9503896E+18,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3905,-1.9408112E+18,-3.1801558E+18,-7.9503896E+18,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3906,-1.9260197E+18,-3.1801558E+18,-7.9503896E+18,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3907,-1.9118857E+18,-3.1801558E+18,-7.9503896E+18,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3908,-1.8983531E+18,-3.1801558E+18,-7.9503896E+18,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3909,-1.8853729E+18,-3.1801558E+18,-7.9503896E+18,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3910,-1.8729017E+18,-3.1801558E+18,-7.9503896E+18,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3911,-1.8609011E+18,-3.1801558E+18,-7.9503896E+18,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3912,-1.8493369E+18,-3.1801558E+18,-7.9503896E+18,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3913,-1.8381785E+18,-3.1801558E+18,-7.9503896E+18,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3914,-1.8273983E+18,-3.1801558E+18,-7.9503896E+18,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3915,-1.7365367E+18,-3.1801558E+18,-7.9503896E+18,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3916,-1.6658666E+18,-3.1801558E+18,-7.9503896E+18,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3917,-1.6080456E+18,-3.1801558E+18,-7.9503896E+18,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3918,-1.5591201E+18,-3.1801558E+18,-7.9503896E+18,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3919,-1.5167180E+18,-3.1801558E+18,-7.9503896E+18,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3920,-1.4793044E+18,-3.1801558E+18,-7.9503896E+18,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3921,-1.4458291E+18,-3.1801558E+18,-7.9503896E+18,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3922,-1.4155419E+18,-3.1801558E+18,-7.9503896E+18,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3923,-1.3878884E+18,-3.1801558E+18,-7.9503896E+18,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3924,-1.2008204E+18,-3.1801558E+18,-7.9503896E+18,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3925,-1.0830368E+18,-3.1801558E+18,-7.9503896E+18,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3926,-9.9708666E+17,-3.1801558E+18,-7.9503896E+18,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3927,-9.2942377E+17,-3.1801558E+18,-7.9503896E+18,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3928,-8.7363156E+17,-3.1801558E+18,-7.9503896E+18,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3929,-8.2616655E+17,-3.1801558E+18,-7.9503896E+18,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3930,-7.8486582E+17,-3.1801558E+18,-7.9503896E+18,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3931,-7.4831231E+17,-3.1801558E+18,-7.9503896E+18,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3932,-7.1552720E+17,-3.1801558E+18,-7.9503896E+18,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3933,-5.0630642E+17,-3.1801558E+18,-7.9503896E+18,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3934,-3.8010976E+17,-3.1801558E+18,-7.9503896E+18,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3935,-2.8976442E+17,-3.1801558E+18,-7.9503896E+18,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3936,-2.1940699E+17,-3.1801558E+18,-7.9503896E+18,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3937,-1.6179547E+17,-3.1801558E+18,-7.9503896E+18,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3938,-1.1302008E+17,-3.1801558E+18,-7.9503896E+18,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3939,-7.0730771E+16,-3.1801558E+18,-7.9503896E+18,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3940,-3.3404998E+16,-3.1801558E+18,-7.9503896E+18,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3941,+0.0000000E+00,-3.1801558E+18,-7.9503896E+18,5.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3942,+3.3404998E+16,-3.1801558E+18,-7.9503896E+18,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3943,+7.0730771E+16,-3.1801558E+18,-7.9503896E+18,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3944,+1.1302008E+17,-3.1801558E+18,-7.9503896E+18,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3945,+1.6179547E+17,-3.1801558E+18,-7.9503896E+18,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3946,+2.1940699E+17,-3.1801558E+18,-7.9503896E+18,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3947,+2.8976442E+17,-3.1801558E+18,-7.9503896E+18,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3948,+3.8010976E+17,-3.1801558E+18,-7.9503896E+18,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3949,+5.0630642E+17,-3.1801558E+18,-7.9503896E+18,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3950,+7.1552720E+17,-3.1801558E+18,-7.9503896E+18,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3951,+7.4831231E+17,-3.1801558E+18,-7.9503896E+18,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3952,+7.8486582E+17,-3.1801558E+18,-7.9503896E+18,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3953,+8.2616655E+17,-3.1801558E+18,-7.9503896E+18,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3954,+8.7363156E+17,-3.1801558E+18,-7.9503896E+18,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3955,+9.2942377E+17,-3.1801558E+18,-7.9503896E+18,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3956,+9.9708666E+17,-3.1801558E+18,-7.9503896E+18,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3957,+1.0830368E+18,-3.1801558E+18,-7.9503896E+18,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3958,+1.2008204E+18,-3.1801558E+18,-7.9503896E+18,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3959,+1.3878884E+18,-3.1801558E+18,-7.9503896E+18,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3960,+1.4155419E+18,-3.1801558E+18,-7.9503896E+18,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3961,+1.4458291E+18,-3.1801558E+18,-7.9503896E+18,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3962,+1.4793044E+18,-3.1801558E+18,-7.9503896E+18,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3963,+1.5167180E+18,-3.1801558E+18,-7.9503896E+18,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3964,+1.5591201E+18,-3.1801558E+18,-7.9503896E+18,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3965,+1.6080456E+18,-3.1801558E+18,-7.9503896E+18,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3966,+1.6658666E+18,-3.1801558E+18,-7.9503896E+18,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3967,+1.7365367E+18,-3.1801558E+18,-7.9503896E+18,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3968,+1.8273983E+18,-3.1801558E+18,-7.9503896E+18,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3969,+1.8381785E+18,-3.1801558E+18,-7.9503896E+18,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3970,+1.8493369E+18,-3.1801558E+18,-7.9503896E+18,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3971,+1.8609011E+18,-3.1801558E+18,-7.9503896E+18,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3972,+1.8729017E+18,-3.1801558E+18,-7.9503896E+18,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3973,+1.8853729E+18,-3.1801558E+18,-7.9503896E+18,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3974,+1.8983531E+18,-3.1801558E+18,-7.9503896E+18,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3975,+1.9118857E+18,-3.1801558E+18,-7.9503896E+18,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3976,+1.9260197E+18,-3.1801558E+18,-7.9503896E+18,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3977,+1.9408112E+18,-3.1801558E+18,-7.9503896E+18,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3978,+1.9423291E+18,-3.1801558E+18,-7.9503896E+18,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3979,+1.9438544E+18,-3.1801558E+18,-7.9503896E+18,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3980,+1.9453870E+18,-3.1801558E+18,-7.9503896E+18,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3981,+1.9469270E+18,-3.1801558E+18,-7.9503896E+18,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3982,+1.9484746E+18,-3.1801558E+18,-7.9503896E+18,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3983,+1.9500296E+18,-3.1801558E+18,-7.9503896E+18,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3984,+1.9515924E+18,-3.1801558E+18,-7.9503896E+18,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3985,+1.9531628E+18,-3.1801558E+18,-7.9503896E+18,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3986,+1.9547411E+18,-3.1801558E+18,-7.9503896E+18,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3987,+1.9548993E+18,-3.1801558E+18,-7.9503896E+18,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3988,+1.9550577E+18,-3.1801558E+18,-7.9503896E+18,1.0040000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3989,+1.9552161E+18,-3.1801558E+18,-7.9503896E+18,1.0035000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3990,+1.9553746E+18,-3.1801558E+18,-7.9503896E+18,1.0030000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3991,+1.9555331E+18,-3.1801558E+18,-7.9503896E+18,1.0025000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3992,+1.9556918E+18,-3.1801558E+18,-7.9503896E+18,1.0020000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3993,+1.9558505E+18,-3.1801558E+18,-7.9503896E+18,1.0015000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3994,+1.9560093E+18,-3.1801558E+18,-7.9503896E+18,1.0010000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3995,+1.9561682E+18,-3.1801558E+18,-7.9503896E+18,1.0005000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3996,+1.9563272E+18,-3.1801558E+18,-7.9503896E+18,1.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3997,-1.9563272E+18,-1.5900779E+18,-7.9503896E+18,1.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3998,-1.9561682E+18,-1.5900779E+18,-7.9503896E+18,1.0005000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
3999,-1.9560093E+18,-1.5900779E+18,-7.9503896E+18,1.0010000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4000,-1.9558505E+18,-1.5900779E+18,-7.9503896E+18,1.0015000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4001,-1.9556918E+18,-1.5900779E+18,-7.9503896E+18,1.0020000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4002,-1.9555331E+18,-1.5900779E+18,-7.9503896E+18,1.0025000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4003,-1.9553746E+18,-1.5900779E+18,-7.9503896E+18,1.0030000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4004,-1.9552161E+18,-1.5900779E+18,-7.9503896E+18,1.0035000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4005,-1.9550577E+18,-1.5900779E+18,-7.9503896E+18,1.0040000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4006,-1.9548993E+18,-1.5900779E+18,-7.9503896E+18,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4007,-1.9547411E+18,-1.5900779E+18,-7.9503896E+18,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4008,-1.9531628E+18,-1.5900779E+18,-7.9503896E+18,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4009,-1.9515924E+18,-1.5900779E+18,-7.9503896E+18,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4010,-1.9500296E+18,-1.5900779E+18,-7.9503896E+18,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4011,-1.9484746E+18,-1.5900779E+18,-7.9503896E+18,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4012,-1.9469270E+18,-1.5900779E+18,-7.9503896E+18,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4013,-1.9453870E+18,-1.5900779E+18,-7.9503896E+18,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4014,-1.9438544E+18,-1.5900779E+18,-7.9503896E+18,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4015,-1.9423291E+18,-1.5900779E+18,-7.9503896E+18,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4016,-1.9408112E+18,-1.5900779E+18,-7.9503896E+18,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4017,-1.9260197E+18,-1.5900779E+18,-7.9503896E+18,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4018,-1.9118857E+18,-1.5900779E+18,-7.9503896E+18,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4019,-1.8983531E+18,-1.5900779E+18,-7.9503896E+18,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4020,-1.8853729E+18,-1.5900779E+18,-7.9503896E+18,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4021,-1.8729017E+18,-1.5900779E+18,-7.9503896E+18,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4022,-1.8609011E+18,-1.5900779E+18,-7.9503896E+18,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4023,-1.8493369E+18,-1.5900779E+18,-7.9503896E+18,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4024,-1.8381785E+18,-1.5900779E+18,-7.9503896E+18,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4025,-1.8273983E+18,-1.5900779E+18,-7.9503896E+18,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4026,-1.7365367E+18,-1.5900779E+18,-7.9503896E+18,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4027,-1.6658666E+18,-1.5900779E+18,-7.9503896E+18,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4028,-1.6080456E+18,-1.5900779E+18,-7.9503896E+18,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4029,-1.5591201E+18,-1.5900779E+18,-7.9503896E+18,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4030,-1.5167180E+18,-1.5900779E+18,-7.9503896E+18,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4031,-1.4793044E+18,-1.5900779E+18,-7.9503896E+18,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4032,-1.4458291E+18,-1.5900779E+18,-7.9503896E+18,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4033,-1.4155419E+18,-1.5900779E+18,-7.9503896E+18,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4034,-1.3878884E+18,-1.5900779E+18,-7.9503896E+18,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4035,-1.2008204E+18,-1.5900779E+18,-7.9503896E+18,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4036,-1.0830368E+18,-1.5900779E+18,-7.9503896E+18,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4037,-9.9708666E+17,-1.5900779E+18,-7.9503896E+18,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4038,-9.2942377E+17,-1.5900779E+18,-7.9503896E+18,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4039,-8.7363156E+17,-1.5900779E+18,-7.9503896E+18,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4040,-8.2616655E+17,-1.5900779E+18,-7.9503896E+18,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4041,-7.8486582E+17,-1.5900779E+18,-7.9503896E+18,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4042,-7.4831231E+17,-1.5900779E+18,-7.9503896E+18,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4043,-7.1552720E+17,-1.5900779E+18,-7.9503896E+18,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4044,-5.0630642E+17,-1.5900779E+18,-7.9503896E+18,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4045,-3.8010976E+17,-1.5900779E+18,-7.9503896E+18,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4046,-2.8976442E+17,-1.5900779E+18,-7.9503896E+18,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4047,-2.1940699E+17,-1.5900779E+18,-7.9503896E+18,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4048,-1.6179547E+17,-1.5900779E+18,-7.9503896E+18,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4049,-1.1302008E+17,-1.5900779E+18,-7.9503896E+18,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4050,-7.0730771E+16,-1.5900779E+18,-7.9503896E+18,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4051,-3.3404998E+16,-1.5900779E+18,-7.9503896E+18,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4052,+0.0000000E+00,-1.5900779E+18,-7.9503896E+18,5.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4053,+3.3404998E+16,-1.5900779E+18,-7.9503896E+18,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4054,+7.0730771E+16,-1.5900779E+18,-7.9503896E+18,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4055,+1.1302008E+17,-1.5900779E+18,-7.9503896E+18,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4056,+1.6179547E+17,-1.5900779E+18,-7.9503896E+18,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4057,+2.1940699E+17,-1.5900779E+18,-7.9503896E+18,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4058,+2.8976442E+17,-1.5900779E+18,-7.9503896E+18,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4059,+3.8010976E+17,-1.5900779E+18,-7.9503896E+18,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4060,+5.0630642E+17,-1.5900779E+18,-7.9503896E+18,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4061,+7.1552720E+17,-1.5900779E+18,-7.9503896E+18,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4062,+7.4831231E+17,-1.5900779E+18,-7.9503896E+18,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4063,+7.8486582E+17,-1.5900779E+18,-7.9503896E+18,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4064,+8.2616655E+17,-1.5900779E+18,-7.9503896E+18,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4065,+8.7363156E+17,-1.5900779E+18,-7.9503896E+18,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4066,+9.2942377E+17,-1.5900779E+18,-7.9503896E+18,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4067,+9.9708666E+17,-1.5900779E+18,-7.9503896E+18,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4068,+1.0830368E+18,-1.5900779E+18,-7.9503896E+18,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4069,+1.2008204E+18,-1.5900779E+18,-7.9503896E+18,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4070,+1.3878884E+18,-1.5900779E+18,-7.9503896E+18,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4071,+1.4155419E+18,-1.5900779E+18,-7.9503896E+18,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4072,+1.4458291E+18,-1.5900779E+18,-7.9503896E+18,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4073,+1.4793044E+18,-1.5900779E+18,-7.9503896E+18,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4074,+1.5167180E+18,-1.5900779E+18,-7.9503896E+18,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4075,+1.5591201E+18,-1.5900779E+18,-7.9503896E+18,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4076,+1.6080456E+18,-1.5900779E+18,-7.9503896E+18,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4077,+1.6658666E+18,-1.5900779E+18,-7.9503896E+18,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4078,+1.7365367E+18,-1.5900779E+18,-7.9503896E+18,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4079,+1.8273983E+18,-1.5900779E+18,-7.9503896E+18,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4080,+1.8381785E+18,-1.5900779E+18,-7.9503896E+18,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4081,+1.8493369E+18,-1.5900779E+18,-7.9503896E+18,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4082,+1.8609011E+18,-1.5900779E+18,-7.9503896E+18,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4083,+1.8729017E+18,-1.5900779E+18,-7.9503896E+18,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4084,+1.8853729E+18,-1.5900779E+18,-7.9503896E+18,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4085,+1.8983531E+18,-1.5900779E+18,-7.9503896E+18,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4086,+1.9118857E+18,-1.5900779E+18,-7.9503896E+18,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4087,+1.9260197E+18,-1.5900779E+18,-7.9503896E+18,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4088,+1.9408112E+18,-1.5900779E+18,-7.9503896E+18,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4089,+1.9423291E+18,-1.5900779E+18,-7.9503896E+18,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
4090,+1.9438544E+18,-1.5900779E+18,-7.9503896E+18,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
