Particle #,x (cm),y (cm),z (cm),n_H (cm-3),T_gas (K),T_dust (K),chi (Draine),Type (I|P|D)
40,-1.0830368E+18,-1.1130545E+19,-1.1130545E+19,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
41,-9.9708666E+17,-1.1130545E+19,-1.1130545E+19,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
42,-9.2942377E+17,-1.1130545E+19,-1.1130545E+19,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
43,-8.7363156E+17,-1.1130545E+19,-1.1130545E+19,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
44,-8.2616655E+17,-1.1130545E+19,-1.1130545E+19,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
45,-7.8486582E+17,-1.1130545E+19,-1.1130545E+19,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
46,-7.4831231E+17,-1.1130545E+19,-1.1130545E+19,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
47,-7.1552720E+17,-1.1130545E+19,-1.1130545E+19,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
48,-5.0630642E+17,-1.1130545E+19,-1.1130545E+19,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
49,-3.8010976E+17,-1.1130545E+19,-1.1130545E+19,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
50,-2.8976442E+17,-1.1130545E+19,-1.1130545E+19,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
51,-2.1940699E+17,-1.1130545E+19,-1.1130545E+19,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
52,-1.6179547E+17,-1.1130545E+19,-1.1130545E+19,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
53,-1.1302008E+17,-1.1130545E+19,-1.1130545E+19,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
54,-7.0730771E+16,-1.1130545E+19,-1.1130545E+19,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
55,-3.3404998E+16,-1.1130545E+19,-1.1130545E+19,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
56,+0.0000000E+00,-1.1130545E+19,-1.1130545E+19,5.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
57,+3.3404998E+16,-1.1130545E+19,-1.1130545E+19,4.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
58,+7.0730771E+16,-1.1130545E+19,-1.1130545E+19,4.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
59,+1.1302008E+17,-1.1130545E+19,-1.1130545E+19,3.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
60,+1.6179547E+17,-1.1130545E+19,-1.1130545E+19,3.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
61,+2.1940699E+17,-1.1130545E+19,-1.1130545E+19,2.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
62,+2.8976442E+17,-1.1130545E+19,-1.1130545E+19,2.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
63,+3.8010976E+17,-1.1130545E+19,-1.1130545E+19,1.5100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
64,+5.0630642E+17,-1.1130545E+19,-1.1130545E+19,1.0100000E+04,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
65,+7.1552720E+17,-1.1130545E+19,-1.1130545E+19,5.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
66,+7.4831231E+17,-1.1130545E+19,-1.1130545E+19,4.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
67,+7.8486582E+17,-1.1130545E+19,-1.1130545E+19,4.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
68,+8.2616655E+17,-1.1130545E+19,-1.1130545E+19,3.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
69,+8.7363156E+17,-1.1130545E+19,-1.1130545E+19,3.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
70,+9.2942377E+17,-1.1130545E+19,-1.1130545E+19,2.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
71,+9.9708666E+17,-1.1130545E+19,-1.1130545E+19,2.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
72,+1.0830368E+18,-1.1130545E+19,-1.1130545E+19,1.6000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
73,+1.2008204E+18,-1.1130545E+19,-1.1130545E+19,1.1000000E+03,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
74,+1.3878884E+18,-1.1130545E+19,-1.1130545E+19,6.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
75,+1.4155419E+18,-1.1130545E+19,-1.1130545E+19,5.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
76,+1.4458291E+18,-1.1130545E+19,-1.1130545E+19,5.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
77,+1.4793044E+18,-1.1130545E+19,-1.1130545E+19,4.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
78,+1.5167180E+18,-1.1130545E+19,-1.1130545E+19,4.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
79,+1.5591201E+18,-1.1130545E+19,-1.1130545E+19,3.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
80,+1.6080456E+18,-1.1130545E+19,-1.1130545E+19,3.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
81,+1.6658666E+18,-1.1130545E+19,-1.1130545E+19,2.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
82,+1.7365367E+18,-1.1130545E+19,-1.1130545E+19,2.0000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
83,+1.8273983E+18,-1.1130545E+19,-1.1130545E+19,1.5000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
84,+1.8381785E+18,-1.1130545E+19,-1.1130545E+19,1.4500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
85,+1.8493369E+18,-1.1130545E+19,-1.1130545E+19,1.4000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
86,+1.8609011E+18,-1.1130545E+19,-1.1130545E+19,1.3500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
87,+1.8729017E+18,-1.1130545E+19,-1.1130545E+19,1.3000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
88,+1.8853729E+18,-1.1130545E+19,-1.1130545E+19,1.2500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
89,+1.8983531E+18,-1.1130545E+19,-1.1130545E+19,1.2000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
90,+1.9118857E+18,-1.1130545E+19,-1.1130545E+19,1.1500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
91,+1.9260197E+18,-1.1130545E+19,-1.1130545E+19,1.1000000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
92,+1.9408112E+18,-1.1130545E+19,-1.1130545E+19,1.0500000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
93,+1.9423291E+18,-1.1130545E+19,-1.1130545E+19,1.0450000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
94,+1.9438544E+18,-1.1130545E+19,-1.1130545E+19,1.0400000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
95,+1.9453870E+18,-1.1130545E+19,-1.1130545E+19,1.0350000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
96,+1.9469270E+18,-1.1130545E+19,-1.1130545E+19,1.0300000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
97,+1.9484746E+18,-1.1130545E+19,-1.1130545E+19,1.0250000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
98,+1.9500296E+18,-1.1130545E+19,-1.1130545E+19,1.0200000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
99,+1.9515924E+18,-1.1130545E+19,-1.1130545E+19,1.0150000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
100,+1.9531628E+18,-1.1130545E+19,-1.1130545E+19,1.0100000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
101,+1.9547411E+18,-1.1130545E+19,-1.1130545E+19,1.0050000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
102,+1.9548993E+18,-1.1130545E+19,-1.1130545E+19,1.0045000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
103,+1.9550577E+18,-1.1130545E+19,-1.1130545E+19,1.0040000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
104,+1.9552161E+18,-1.1130545E+19,-1.1130545E+19,1.0035000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
105,+1.9553746E+18,-1.1130545E+19,-1.1130545E+19,1.0030000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
106,+1.9555331E+18,-1.1130545E+19,-1.1130545E+19,1.0025000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
107,+1.9556918E+18,-1.1130545E+19,-1.1130545E+19,1.0020000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
108,+1.9558505E+18,-1.1130545E+19,-1.1130545E+19,1.0015000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
109,+1.9560093E+18,-1.1130545E+19,-1.1130545E+19,1.0010000E+02,5.0000000E+01,2.0000000E+01,0.0000000E+00,P
